text,classification,text_tokens
China se beneficiou financeiramente do novo coronavírus,0,"['china', 'beneficiou', 'financeiramente', 'coronavírus']"
Alimentos alcalinos ajudam a prevenir ou tratar a Covid-19.,0,"['alimentos', 'alcalinos', 'ajudam', 'prevenir', 'tratar', 'covid']"
"Minas Gerais tem menos mortes que São Paulo, embora não tenha adotado medidas de quarentena.",0,"['minas', 'gerais', 'mortes', 'paulo', 'adotado', 'medidas', 'quarentena']"
"Quando os sintomas do COVID-19 aparecerem, as pessoas devem tomar azitromicina, ivermectina e Anitta.",0,"['sintomas', 'covid', 'aparecerem', 'tomar', 'azitromicina', 'ivermectina', 'anitta']"
Beber água e fazer gargarejos com sal ou vinagre não impedem infecção por coronavírus,0,"['beber', 'água', 'gargarejos', 'sal', 'vinagre', 'impedem', 'infecção', 'coronavírus']"
Médico brasileiro Drauzio Varella afirma ser desnecessário isolamento social,0,"['médico', 'brasileiro', 'drauzio', 'varella', 'afirma', 'desnecessário', 'isolamento', 'social']"
Foto mostra homem que foi curado de COVID-19 por hidroxicloroquina,0,"['foto', 'mostra', 'homem', 'curado', 'covid', 'hidroxicloroquina']"
O Ceará teve mais mortes por doenças respiratórias em 2019 e 2018 do que em 2020.,0,"['ceará', 'mortes', 'doenças', 'respiratórias']"
Chá boldo evita o COVID-19.,0,"['chá', 'boldo', 'evita', 'covid']"
O chá boldo e o chá de quina quina previnem e até curam o COVID-19.,0,"['chá', 'boldo', 'chá', 'quina', 'quina', 'previnem', 'curam', 'covid']"
Agência Nacional de Vigilância Sanitária aprova cloroquina / hidroxicloroquina como tratamento para o COVID-19,0,"['agência', 'nacional', 'vigilância', 'sanitária', 'aprova', 'cloroquina', 'hidroxicloroquina', 'tratamento', 'covid']"
"Dados mostram que o estado de Minas Gerais tem menos mortes por COVID-19 do que o Ceará, embora não tenha adotado medidas de isolamento.",0,"['dados', 'mostram', 'minas', 'gerais', 'mortes', 'covid', 'ceará', 'adotado', 'medidas', 'isolamento']"
"As mortes por Covid-19 são causadas por bactérias e, portanto, a doença deve ser tratada com aspirina.",0,"['mortes', 'covid', 'causadas', 'bactérias', 'doença', 'tratada', 'aspirina']"
"Ao revogar a permissão para usar a cloroquina em pacientes hospitalizados, o FDA expandiu o uso da droga nos EUA.",0,"['revogar', 'permissão', 'cloroquina', 'pacientes', 'hospitalizados', 'fda', 'expandiu', 'uso', 'droga', 'eua']"
"Mike Ryan, diretor da OMS, disse que as medidas de isolamento pioram a pandemia",0,"['mike', 'ryan', 'diretor', 'oms', 'disse', 'medidas', 'isolamento', 'pioram', 'pandemia']"
170 milhões de pessoas se inscreveram para auxílio emergencial da COVID-19 no Brasil.,0,"['milhões', 'inscreveram', 'auxílio', 'emergencial', 'covid', 'brasil']"
232 crianças morreram do COVID-19 na Itália em um dia,0,"['crianças', 'morreram', 'covid', 'itália']"
3.500 italianos potencialmente infectados com o novo coronavírus chegaram ao Brasil em um navio de cruzeiro,0,"['italianos', 'potencialmente', 'infectados', 'coronavírus', 'chegaram', 'brasil', 'navio', 'cruzeiro']"
Frascos de álcool ou desinfetante para as mãos à base de álcool deixados no interior dos veículos podem pegar foto com o calor do sol.,0,"['frascos', 'álcool', 'desinfetante', 'mãos', 'base', 'álcool', 'deixados', 'interior', 'veículos', 'foto', 'calor', 'sol']"
"O Banco Mundial classificou o Brasil como o melhor país em combate ao COVID-19""""",0,"['banco', 'mundial', 'classificou', 'brasil', 'melhor', 'país', 'combate', 'covid']"
O presidente brasileiro Jair Bolsonaro disse que os beneficiários de uma ajuda de emergência de R$ 600 para mitigar os efeitos da pandemia de Covid-19 'não gostam de trabalhar'.,0,"['presidente', 'brasileiro', 'jair', 'bolsonaro', 'disse', 'beneficiários', 'ajuda', 'emergência', 'r', 'mitigar', 'efeitos', 'pandemia', 'covid', 'gostam']"
"Caixões desenterrados de um cemitério de Belo Horizonte continham pedras e pedaços de madeira em vez de corpos, o que destaca a farsa das mortes por COVID-19.",0,"['caixões', 'desenterrados', 'cemitério', 'belo', 'horizonte', 'continham', 'pedras', 'pedaços', 'madeira', 'corpos', 'destaca', 'farsa', 'mortes', 'covid']"
Notificação de emergência do Departamento de Saúde do Canadá recomenda que pessoas mantenham a garganta úmida para se proteger do novo coronavírus,0,"['notificação', 'emergência', 'departamento', 'saúde', 'canadá', 'recomenda', 'mantenham', 'garganta', 'úmida', 'proteger', 'coronavírus']"
Dados de cartórios brasileiros mostram que os dados estaduais sobre mortes por COVID-19 são mais baixos,0,"['dados', 'cartórios', 'brasileiros', 'mostram', 'dados', 'estaduais', 'mortes', 'covid', 'baixos']"
"O governador de São Paulo disse que assinou um contrato com a China para a produção de uma vacina contra o coronavírus em agosto de 2019, o que prova que a pandemia é uma farsa.",0,"['governador', 'paulo', 'disse', 'assinou', 'contrato', 'china', 'produção', 'vacina', 'coronavírus', 'agosto', 'prova', 'pandemia', 'farsa']"
Estados brasileiros recebem financiamento federal para cada morte por Covid-19 registrada.,0,"['estados', 'brasileiros', 'recebem', 'financiamento', 'federal', 'morte', 'covid', 'registrada']"
O FDA (Food and Drug Administration dos EUA) aprovou o uso de hidroxicloroquina em todos os pacientes com Covid-19.,0,"['fda', 'food', 'and', 'drug', 'administration', 'eua', 'aprovou', 'uso', 'hidroxicloroquina', 'pacientes', 'covid']"
Filho do jornalista brasileiro Willian Bonner solicitou e recebeu auxílio emergencial COVID-19 de R $ 600.,0,"['filho', 'jornalista', 'brasileiro', 'willian', 'bonner', 'solicitou', 'recebeu', 'auxílio', 'emergencial', 'covid', 'r']"
"A China lançou um filme chamado Coronavirus"" em 2013""",0,"['china', 'lançou', 'filme', 'chamado', 'coronavirus']"
"Maria do Rosário, deputada federal pelo PT, aparece em foto costurando uma máscara protetora sem linha de costura.",0,"['maria', 'rosário', 'deputada', 'federal', 'pt', 'aparece', 'foto', 'costurando', 'máscara', 'protetora', 'linha', 'costura']"
Governo brasileiro liberou dinheiro adicional para os beneficiários do Bolsa Família,0,"['governo', 'brasileiro', 'liberou', 'dinheiro', 'adicional', 'beneficiários', 'bolsa', 'família']"
"Hospitais brasileiros recebem R$ 18.000 por cada morte registrada com suspeita de COVID-19""""",0,"['hospitais', 'brasileiros', 'recebem', 'r', 'morte', 'registrada', 'suspeita', 'covid']"
"O hospital de campanha da Universidade de Campinas, em São Paulo, foi desmontado por falta de pacientes.",0,"['hospital', 'campanha', 'universidade', 'campinas', 'paulo', 'desmontado', 'pacientes']"
Hospital da cidade de Fortaleza fecha a enfermaria especial de atendimento para Covid-19 devido à falta de pacientes.,0,"['hospital', 'cidade', 'fortaleza', 'fecha', 'enfermaria', 'especial', 'atendimento', 'covid', 'devido', 'pacientes']"
O H1N1 foi mais letal que o COVID-19 no Brasil,0,"['hn', 'letal', 'covid', 'brasil']"
